# WARNING | PUMAS | Modeling multiple-scattering accurately for Rayleigh would require NMAX to be at least 1 and LMAX 2.
# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Feb 25 03:19:28 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O Rayleigh CIA
7.765084837e-01 6.10464e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99913e-01 6.10516e-01 9.99999e-01
7.803910261e-01 6.01301e-01 9.99999e-01 9.99999e-01 9.75710e-01 9.99625e-01 6.16496e-01 9.99999e-01
7.842929812e-01 5.61933e-01 9.99999e-01 9.99999e-01 9.03973e-01 9.98691e-01 6.22414e-01 9.99997e-01
7.882144461e-01 5.61817e-01 9.99999e-01 9.99999e-01 8.96571e-01 9.97330e-01 6.28271e-01 9.99981e-01
7.921555184e-01 5.94442e-01 9.99999e-01 9.99999e-01 9.38883e-01 9.98543e-01 6.34066e-01 9.99967e-01
7.961162960e-01 6.12014e-01 9.99999e-01 9.99999e-01 9.59086e-01 9.97394e-01 6.39798e-01 9.99969e-01
8.000968774e-01 6.29086e-01 9.99999e-01 9.99999e-01 9.77570e-01 9.97010e-01 6.45466e-01 9.99967e-01
8.040973618e-01 6.41562e-01 9.99999e-01 9.99999e-01 9.88372e-01 9.97004e-01 6.51072e-01 9.99974e-01
8.081178486e-01 6.48639e-01 9.99999e-01 9.99999e-01 9.94624e-01 9.93209e-01 6.56614e-01 9.99974e-01
8.121584379e-01 6.42434e-01 9.99999e-01 9.99999e-01 9.98355e-01 9.71986e-01 6.62093e-01 9.99905e-01
8.162192301e-01 6.45120e-01 9.99999e-01 9.99999e-01 9.99636e-01 9.67149e-01 6.67508e-01 9.99645e-01
8.203003262e-01 6.61224e-01 9.99999e-01 9.99999e-01 9.99994e-01 9.83120e-01 6.72858e-01 9.99584e-01
8.244018279e-01 6.62376e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.77068e-01 6.78145e-01 9.99669e-01
8.285238370e-01 6.69639e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.80163e-01 6.83368e-01 9.99740e-01
8.326664562e-01 6.74703e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.80028e-01 6.88526e-01 9.99892e-01
8.368297885e-01 6.83715e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.85743e-01 6.93620e-01 9.99975e-01
8.410139374e-01 6.92713e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.91514e-01 6.98651e-01 9.99985e-01
8.452190071e-01 7.00683e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.95838e-01 7.03617e-01 9.99990e-01
8.494451021e-01 7.06797e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97575e-01 7.08519e-01 9.99992e-01
8.536923276e-01 7.12336e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98570e-01 7.13358e-01 9.99995e-01
8.579607893e-01 7.17499e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99116e-01 7.18134e-01 9.99998e-01
8.622505932e-01 7.22441e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99440e-01 7.22846e-01 9.99999e-01
8.665618462e-01 6.83921e-01 9.99999e-01 9.99999e-01 9.40421e-01 9.99652e-01 7.27494e-01 9.99999e-01
8.708946554e-01 5.64075e-01 9.99999e-01 9.99999e-01 7.70808e-01 9.99600e-01 7.32081e-01 9.99999e-01
8.752491287e-01 5.98473e-01 9.99999e-01 9.99999e-01 8.12899e-01 9.99466e-01 7.36604e-01 9.99998e-01
8.796253743e-01 6.61477e-01 9.99999e-01 9.99999e-01 8.93251e-01 9.99259e-01 7.41066e-01 9.99997e-01
8.840235012e-01 7.02625e-01 9.99999e-01 9.99999e-01 9.43326e-01 9.99154e-01 7.45465e-01 9.99994e-01
8.884436187e-01 7.30557e-01 9.99999e-01 9.99999e-01 9.77398e-01 9.96855e-01 7.49803e-01 9.99984e-01
8.928858368e-01 7.22958e-01 9.99999e-01 9.99999e-01 9.90770e-01 9.67688e-01 7.54080e-01 9.99915e-01
8.973502660e-01 7.13957e-01 9.99999e-01 9.99999e-01 9.97764e-01 9.44015e-01 7.58296e-01 9.99568e-01
9.018370173e-01 7.39859e-01 9.99999e-01 9.99999e-01 9.99754e-01 9.71259e-01 7.62451e-01 9.99321e-01
9.063462024e-01 7.41573e-01 9.99999e-01 9.99999e-01 9.93445e-01 9.74249e-01 7.66547e-01 9.99404e-01
9.108779334e-01 7.28869e-01 9.99999e-01 9.99999e-01 9.85425e-01 9.60334e-01 7.70583e-01 9.99380e-01
9.154323231e-01 7.36995e-01 9.99999e-01 9.99999e-01 9.96601e-01 9.55187e-01 7.74560e-01 9.99488e-01
9.200094847e-01 7.13588e-01 9.99999e-01 9.99999e-01 9.49129e-01 9.64801e-01 7.78478e-01 9.99713e-01
9.246095321e-01 6.87505e-01 9.99999e-01 9.99999e-01 9.30506e-01 9.43847e-01 7.82338e-01 9.99669e-01
9.292325798e-01 5.07486e-01 9.99999e-01 9.99999e-01 9.44325e-01 6.81643e-01 7.86140e-01 9.98408e-01
9.338787427e-01 4.57131e-01 9.99999e-01 9.99999e-01 9.46825e-01 6.12184e-01 7.89886e-01 9.94260e-01
9.385481364e-01 6.23067e-01 9.99999e-01 9.99999e-01 9.60680e-01 8.21130e-01 7.93574e-01 9.93695e-01
9.432408771e-01 5.85839e-01 9.99999e-01 9.99999e-01 9.75831e-01 7.56454e-01 7.97207e-01 9.94558e-01
9.479570815e-01 5.34626e-01 9.99999e-01 9.99999e-01 9.87504e-01 6.78736e-01 8.00784e-01 9.95569e-01
9.526968669e-01 5.99428e-01 9.99999e-01 9.99999e-01 9.93969e-01 7.51538e-01 8.04305e-01 9.97294e-01
9.574603512e-01 6.20069e-01 9.99999e-01 9.99999e-01 9.97420e-01 7.70581e-01 8.07773e-01 9.98624e-01
9.622476530e-01 6.55842e-01 9.99999e-01 9.99999e-01 9.99195e-01 8.09891e-01 8.11186e-01 9.99048e-01
