# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Jan 28 17:00:05 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O Rayleigh CIA
6.329037559e-01 1.43787e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21607e-06 1.43785e-06 1.21596e-06
6.360682746e-01 1.43604e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21603e-06 1.43603e-06 1.21596e-06
6.392486160e-01 1.43420e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21601e-06 1.43420e-06 1.21596e-06
6.424448591e-01 1.43237e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21602e-06 1.43236e-06 1.21596e-06
6.456570834e-01 1.43058e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21640e-06 1.43052e-06 1.21596e-06
6.488853688e-01 1.42882e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21689e-06 1.42868e-06 1.21596e-06
6.521297956e-01 1.42693e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21658e-06 1.42683e-06 1.21596e-06
6.553904446e-01 1.42507e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21654e-06 1.42498e-06 1.21596e-06
6.586673968e-01 1.42316e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21621e-06 1.42313e-06 1.21596e-06
6.619607338e-01 1.42127e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21601e-06 1.42127e-06 1.21596e-06
6.652705375e-01 1.41941e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.41940e-06 1.21596e-06
6.685968902e-01 1.41754e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.41754e-06 1.21596e-06
6.719398746e-01 1.41567e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.41567e-06 1.21596e-06
6.752995740e-01 1.41379e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.41379e-06 1.21596e-06
6.786760719e-01 1.41192e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.41192e-06 1.21596e-06
6.820694522e-01 1.41004e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.41004e-06 1.21596e-06
6.854797995e-01 1.40817e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21601e-06 1.40816e-06 1.21596e-06
6.889071985e-01 1.40628e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21601e-06 1.40627e-06 1.21596e-06
6.923517345e-01 1.40466e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21725e-06 1.40439e-06 1.21596e-06
6.958134932e-01 1.40291e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21770e-06 1.40250e-06 1.21596e-06
6.992925606e-01 1.40100e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21757e-06 1.40062e-06 1.21596e-06
7.027890234e-01 1.39904e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21730e-06 1.39873e-06 1.21596e-06
7.063029686e-01 1.39702e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21673e-06 1.39684e-06 1.21596e-06
7.098344834e-01 1.39506e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21642e-06 1.39495e-06 1.21596e-06
7.133836558e-01 1.39319e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21648e-06 1.39306e-06 1.21596e-06
7.169505741e-01 1.39271e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22179e-06 1.39117e-06 1.21596e-06
7.205353270e-01 1.39107e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22206e-06 1.38929e-06 1.21596e-06
7.241380036e-01 1.38939e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22275e-06 1.38740e-06 1.21596e-06
7.277586936e-01 1.38730e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22209e-06 1.38552e-06 1.21596e-06
7.313974871e-01 1.38476e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21997e-06 1.38364e-06 1.21596e-06
7.350544745e-01 1.38218e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21743e-06 1.38176e-06 1.21596e-06
7.387297469e-01 1.38011e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21677e-06 1.37988e-06 1.21596e-06
7.424233956e-01 1.37806e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21614e-06 1.37801e-06 1.21596e-06
7.461355126e-01 1.37615e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21600e-06 1.37614e-06 1.21596e-06
7.498661902e-01 1.37428e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.37428e-06 1.21596e-06
7.536155211e-01 1.37242e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.37242e-06 1.21596e-06
7.573835987e-01 1.37056e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.37056e-06 1.21596e-06
7.611705167e-01 1.36871e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.36871e-06 1.21596e-06
7.649763693e-01 1.36687e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.36687e-06 1.21596e-06
7.688012511e-01 1.36503e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.36503e-06 1.21596e-06
7.726452574e-01 1.36320e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.36320e-06 1.21596e-06
