CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.10341,6.8E-4,0.0726,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.02694,0.0025,-0.00276,Calculated,0.0731,0.0071,-0.0071,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10408,6.8E-4,0.1015,0.0138,-0.0138,Lustig-Yaeger et al. 2023,0.03186,0.0021,-0.00224,Calculated,0.0865,0.0059,-0.0059,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10476,6.8E-4,0.1036,0.014,-0.014,Lustig-Yaeger et al. 2023,0.03219,0.00211,-0.00225,Calculated,0.0874,0.0059,-0.0059,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10544,6.8E-4,0.1265,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.03557,0.00194,-0.00206,Calculated,0.0965,0.0054,-0.0054,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10611,6.8E-4,0.0976,0.0139,-0.0139,Lustig-Yaeger et al. 2023,0.03124,0.00215,-0.00231,Calculated,0.0848,0.0061,-0.0061,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10679,6.8E-4,0.1086,0.0139,-0.0139,Lustig-Yaeger et al. 2023,0.03295,0.00205,-0.00218,Calculated,0.0894,0.0057,-0.0057,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10746,6.8E-4,0.0937,0.0135,-0.0135,Lustig-Yaeger et al. 2023,0.03061,0.00213,-0.00229,Calculated,0.0831,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10814,6.8E-4,0.0856,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.02926,0.00233,-0.00254,Calculated,0.0794,0.0066,-0.0066,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10881,6.8E-4,0.0846,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.02909,0.00235,-0.00255,Calculated,0.0789,0.0066,-0.0066,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10949,6.8E-4,0.0999,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.03161,0.0022,-0.00237,Calculated,0.0858,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11017,6.8E-4,0.0827,0.0137,-0.0137,Lustig-Yaeger et al. 2023,0.02876,0.00229,-0.00249,Calculated,0.078,0.0065,-0.0065,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11084,6.8E-4,0.119,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.0345,0.002,-0.00212,Calculated,0.0936,0.0056,-0.0056,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
