141 1744.098926 8.819E-90 1.102E+02.00820.05234757.89350.50-.023000              9              8                    P 23      252623 5 3 2 1 2 2   180.0  188.0
141 1747.509897 6.514E-96 3.069E+01.00830.05437293.56810.50-.023000             12             11                    P 14      252623 5 3 2 1 2 2   108.0  116.0
141 1749.900310 1.452E-74 4.107E+01.00820.05227455.77560.50-.023000              1              0                    P 39      462623 5 3 2 1 2 2   308.0  316.0
141 1750.273774 1.503E-98 8.679E+00.00920.07338209.81550.50-.023000             13             12                    P 10      252623 5 3 2 1 2 2    76.0   84.0
141 1760.261684 2.385E-91 8.781E+01.00820.05235420.63500.50-.023000             10              9                    P 20      252623 5 3 2 1 2 2   156.0  164.0
141 1762.155321 2.174E-93 5.928E+01.00820.05236271.45170.50-.023000             11             10                    P 17      252623 5 3 2 1 2 2   132.0  140.0
141 1766.772480 2.981E-87 1.319E+02.00820.05233609.11800.50-.023000              8              7                    P 25      252623 5 3 2 1 2 2   196.0  204.0
141 1767.609827 1.144E-75 7.647E+01.00820.05228091.35120.50-.023000              2              1                    P 37      462623 5 3 2 1 2 2   292.0  300.0
141 1780.865120 4.282E-77 1.043E+02.00820.05228816.26240.50-.023000              3              2                    P 35      462623 5 3 2 1 2 2   276.0  284.0
141 1781.937442 7.165E-85 1.456E+02.00820.05232514.22880.50-.023000              7              6                    P 27      262623 5 3 2 1 2 2   212.0  220.0
141 1785.991464 3.739E-98 8.047E+00.01030.08837975.61590.50-.023100             13             12                    P  9      252623 5 3 2 1 2 2    68.0   76.0
141 1788.064395 3.039E-95 3.122E+01.00830.05636954.97680.50-.023000             12             11                    P 13      252623 5 3 2 1 2 2   100.0  108.0
141 1789.338293 9.167E-79 1.226E+02.00820.05229626.18450.50-.023000              4              3                    P 33      462623 5 3 2 1 2 2   260.0  268.0
141 1790.355191 1.194E-82 1.501E+02.00820.05231480.97470.50-.023000              6              5                    P 29      362623 5 3 2 1 2 2   228.0  236.0
141 1792.648900 1.201E-80 1.300E+02.00820.05230516.24630.50-.023000              5              4                    P 31      462623 5 3 2 1 2 2   244.0  252.0
141 1793.215335 1.560E-88 1.172E+02.00820.05234158.58760.50-.023000              9              8                    P 22      252623 5 3 2 1 2 2   172.0  180.0
141 1805.951334 1.594E-92 6.184E+01.00820.05335847.36770.50-.023000             11             10                    P 16      252623 5 3 2 1 2 2   124.0  132.0
141 1806.898597 2.721E-90 9.268E+01.00820.05234909.30360.50-.023000             10              9                    P 19      252623 5 3 2 1 2 2   148.0  156.0
141 1810.459948 4.290E-72 4.414E+01.00820.05226280.89120.50-.023000              1              0                    P 38      462623 5 3 2 1 2 2   300.0  308.0
141 1817.625088 7.418E-86 1.403E+02.00820.05232940.26840.50-.023000              8              7                    P 24      252623 5 3 2 1 2 2   188.0  196.0
141 1820.555334 8.045E-98 7.274E+00.01160.11437763.61240.50-.021600             13             12                    P  8      252623 5 3 2 1 2 2    60.0   68.0
141 1827.054058 2.373E-73 8.215E+01.00820.05226989.20840.50-.023000              2              1                    P 36      462623 5 3 2 1 2 2   284.0  292.0
141 1827.654796 1.257E-94 3.144E+01.00850.05936638.12670.50-.023000             12             11                    P 12      252623 5 3 2 1 2 2    92.0  100.0
141 1834.439669 2.521E-83 1.550E+02.00820.05231774.67830.50-.023000              7              6                    P 26      262623 5 3 2 1 2 2   204.0  212.0
141 1839.099708 6.233E-75 1.120E+02.00820.05227787.08470.50-.023000              3              2                    P 34      462623 5 3 2 1 2 2   268.0  276.0
141 1841.795595 2.495E-87 1.238E+02.00820.05233578.83940.50-.023000              9              8                    P 21      252623 5 3 2 1 2 2   164.0  172.0
141 1844.421307 5.965E-81 1.599E+02.00820.05230669.80750.50-.023000              6              5                    P 28      362623 5 3 2 1 2 2   220.0  228.0
141 1846.272106 9.365E-77 1.318E+02.00820.05228669.97420.50-.023000              4              3                    P 32      462623 5 3 2 1 2 2   252.0  260.0
141 1848.192659 8.627E-79 1.400E+02.00820.05229632.78210.50-.023000              5              4                    P 30      462623 5 3 2 1 2 2   236.0  244.0
141 1848.933823 1.043E-91 6.402E+01.00820.05335444.63420.50-.023000             11             10                    P 15      252623 5 3 2 1 2 2   116.0  124.0
141 1852.863913 2.788E-89 9.716E+01.00820.05234418.58780.50-.023000             10              9                    P 18      252623 5 3 2 1 2 2   140.0  148.0
141 1853.936867 1.482E-97 6.385E+00.01450.16037574.19130.40-.019200             13             12                    P  7      252623 5 3 2 1 2 2    52.0   60.0
141 1866.257014 4.594E-94 3.134E+01.00870.06436343.55850.50-.023000             12             11                    P 11      252623 5 3 2 1 2 2    84.0   92.0
141 1868.053771 1.674E-84 1.484E+02.00820.05232290.53380.50-.023000              8              7                    P 23      252623 5 3 2 1 2 2   180.0  188.0
141 1871.302303 1.193E-69 4.727E+01.00820.05225117.90610.50-.023000              1              0                    P 37      462623 5 3 2 1 2 2   292.0  300.0
141 1886.105107 2.306E-97 5.409E+00.02040.22937407.69620.36-.015300             13             12                    P  6      252623 5 3 2 1 2 2    44.0   52.0
141 1886.626121 8.070E-82 1.641E+02.00820.05231053.64230.50-.023000              7              6                    P 25      262623 5 3 2 1 2 2   196.0  204.0
141 1886.685544 4.601E-71 8.792E+01.00820.05225900.39920.50-.023000              2              1                    P 35      462623 5 3 2 1 2 2   276.0  284.0
141 1889.820017 3.592E-86 1.301E+02.00820.05233019.48350.50-.023000              9              8                    P 20      252623 5 3 2 1 2 2   156.0  164.0
141 1891.079998 6.071E-91 6.579E+01.00830.05435063.89680.50-.023000             11             10                    P 14      252623 5 3 2 1 2 2   108.0  116.0
141 1897.424807 8.422E-73 1.198E+02.00820.05226772.54940.50-.023000              3              2                    P 33      462623 5 3 2 1 2 2   260.0  268.0
141 1898.136215 2.555E-88 1.012E+02.00820.05233949.23150.50-.023000             10              9                    P 17      252623 5 3 2 1 2 2   132.0  140.0
141 1898.276614 2.723E-79 1.696E+02.00820.05229876.40170.50-.023000              6              5                    P 27      362623 5 3 2 1 2 2   212.0  220.0
141 1903.197932 8.827E-75 1.411E+02.00820.05227729.58410.50-.023000              4              3                    P 31      462623 5 3 2 1 2 2   244.0  252.0
141 1903.628059 5.684E-77 1.500E+02.00820.05228766.17940.50-.023000              5              4                    P 29      462623 5 3 2 1 2 2   228.0  236.0
141 1903.844228 1.476E-93 3.091E+01.00920.07336071.77170.50-.023000             12             11                    P 10      252623 5 3 2 1 2 2    76.0   84.0
141 1917.026909 2.971E-97 4.385E+00.03100.36737264.42750.22-.010900             13             12                    P  5      252623 5 3 2 1 2 2    36.0   44.0
141 1918.037497 3.409E-83 1.562E+02.00820.05231660.80190.50-.023000              8              7                    P 22      252623 5 3 2 1 2 2   172.0  180.0
141 1932.364201 3.131E-90 6.710E+01.00830.05634705.76250.50-.023000             11             10                    P 13      252623 5 3 2 1 2 2   100.0  108.0
141 1932.404973 3.109E-67 5.045E+01.00820.05223967.99420.50-.023000              1              0                    P 36      462623 5 3 2 1 2 2   284.0  292.0
141 1937.265621 4.636E-85 1.359E+02.00820.05232481.32210.50-.023000              9              8                    P 19      252623 5 3 2 1 2 2   148.0  156.0
141 1938.474796 2.341E-80 1.731E+02.00820.05230352.05900.50-.023000              7              6                    P 24      262623 5 3 2 1 2 2   188.0  196.0
141 1940.387205 4.153E-93 3.016E+01.01030.08835823.22520.50-.023100             12             11                    P  9      252623 5 3 2 1 2 2    68.0   76.0
141 1942.691032 2.086E-87 1.048E+02.00820.05333501.94320.50-.023000             10              9                    P 16      252623 5 3 2 1 2 2   124.0  132.0
141 1946.481461 8.294E-69 9.374E+01.00820.05224826.06800.50-.023000              2              1                    P 34      462623 5 3 2 1 2 2   268.0  276.0
141 1946.667156 3.072E-97 3.359E+00.05020.54237144.64300.50-.009200             13             12                    P  4      252623 5 3 2 1 2 2    28.0   36.0
141 1951.898460 1.130E-77 1.792E+02.00820.05229101.74380.50-.023000              6              5                    P 26      362623 5 3 2 1 2 2   204.0  212.0
141 1955.817337 1.051E-70 1.277E+02.00820.05225773.76680.50-.023000              3              2                    P 32      462623 5 3 2 1 2 2   252.0  260.0
141 1958.932072 3.418E-75 1.600E+02.00820.05227917.46970.50-.023000              5              4                    P 28      462623 5 3 2 1 2 2   220.0  228.0
141 1960.092612 7.636E-73 1.504E+02.00820.05226806.08680.50-.023000              4              3                    P 30      462623 5 3 2 1 2 2   236.0  244.0
141 1967.552077 6.243E-82 1.637E+02.00820.05231051.93150.50-.023000              8              7                    P 21      252623 5 3 2 1 2 2   164.0  172.0
141 1972.758260 1.426E-89 6.795E+01.00850.05934370.80020.50-.023000             11             10                    P 12      252623 5 3 2 1 2 2    92.0  100.0
141 1974.988931 2.414E-97 2.384E+00.07270.70537048.55760.44-.009800             13             12                    P  3      252623 5 3 2 1 2 2    20.0   28.0
141 1975.854588 1.017E-92 2.909E+01.01160.11435598.33670.50-.021600             12             11                    P  8      252623 5 3 2 1 2 2    60.0   68.0
141 1984.106512 5.344E-84 1.413E+02.00820.05231965.12500.50-.023000              9              8                    P 18      252623 5 3 2 1 2 2   140.0  148.0
141 1986.501193 1.513E-86 1.079E+02.00820.05333077.39560.50-.023000             10              9                    P 15      252623 5 3 2 1 2 2   116.0  124.0
141 1989.960632 6.123E-79 1.817E+02.00820.05229670.84130.50-.023000              7              6                    P 23      262623 5 3 2 1 2 2   180.0  188.0
141 1993.742848 7.538E-65 5.366E+01.00820.05222832.32510.50-.023000              1              0                    P 35      462623 5 3 2 1 2 2   276.0  284.0
141 2001.953666 1.288E-97 1.533E+00.08970.73036976.34300.58-.007300             13             12                    P  2      252623 5 3 2 1 2 2    12.0   20.0
141 2005.261214 4.248E-76 1.885E+02.00820.05228346.79780.50-.023000              6              5                    P 25      362623 5 3 2 1 2 2   196.0  204.0
141 2006.416237 1.382E-66 9.961E+01.00820.05223767.35060.50-.023000              2              1                    P 33      462623 5 3 2 1 2 2   260.0  268.0
141 2010.213150 2.155E-92 2.774E+01.01450.16035397.48300.40-.019200             12             11                    P  7      252623 5 3 2 1 2 2    52.0   60.0
141 2012.231782 5.711E-89 6.831E+01.00870.06434059.53990.50-.023000             11             10                    P 11      252623 5 3 2 1 2 2    84.0   92.0
141 2014.078759 1.868E-73 1.699E+02.00820.05227087.66500.50-.023000              5              4                    P 27      462623 5 3 2 1 2 2   212.0  220.0
141 2014.251416 1.205E-68 1.356E+02.00820.05224791.83540.50-.023000              3              2                    P 31      462623 5 3 2 1 2 2   244.0  252.0
141 2016.570494 1.024E-80 1.707E+02.00820.05230464.75160.50-.023000              8              7                    P 20      252623 5 3 2 1 2 2   156.0  164.0
141 2016.930127 6.033E-71 1.596E+02.00820.05225900.53950.50-.023000              4              3                    P 29      462623 5 3 2 1 2 2   228.0  236.0
141 2027.521248 3.409E-98 9.880E-01.10280.65736928.12830.60-.008500             13             12                    P  1      252623 5 3 2 1 2 2     4.0   12.0
141 2029.537143 9.707E-86 1.104E+02.00830.05432676.22540.50-.023000             10              9                    P 14      252623 5 3 2 1 2 2   108.0  116.0
141 2030.314194 5.481E-83 1.462E+02.00820.05231471.62900.50-.023000              9              8                    P 17      252623 5 3 2 1 2 2   132.0  140.0
141 2041.055808 1.438E-77 1.901E+02.00820.05229010.87560.50-.023000              7              6                    P 22      262623 5 3 2 1 2 2   172.0  180.0
141 2043.428014 3.920E-92 2.613E+01.02040.22935220.99950.36-.015300             12             11                    P  6      252623 5 3 2 1 2 2    44.0   52.0
141 2050.752433 2.004E-88 6.817E+01.00920.07333772.47280.50-.023000             11             10                    P 10      252623 5 3 2 1 2 2    76.0   84.0
141 2055.288281 1.692E-62 5.691E+01.00820.05221712.06230.50-.023000              1              0                    P 34      462623 5 3 2 1 2 2   268.0  276.0
141 2058.336536 1.439E-74 1.976E+02.00820.05227612.50480.50-.023000              6              5                    P 24      362623 5 3 2 1 2 2   188.0  196.0
