171 1645.745204 1.450E-42 2.140E-02.01900.02610370.63360.50-.002800              5              4                    P 18      352623 4 3 2 1 0 1   420.0  444.0
171 1646.053813 6.014E-37 2.776E-02.01900.011 7870.32580.50-.002800              2              1                    P 30      452623 4 3 2 1 0 1   708.0  732.0
171 1653.222341 8.223E-39 1.196E-02.01900.011 8548.36400.50-.002800              3              2                    P 26      452623 4 3 2 1 0 1   612.0  636.0
171 1653.362786 2.279E-43 2.295E-05.01900.016 9385.00380.50-.002800              4              3                    P 22      452623 4 3 2 1 0 1   516.0  540.0
171 1653.934818 5.321E-35 2.615E-02.01900.011 6953.77370.50-.002800              1              0                    P 33      462623 4 3 2 1 0 1   780.0  804.0
171 1657.179276 4.849E-46 4.009E-01.04740.08012378.95400.50-.003800              7              6                    P  6      224624 4 3 2 1 0 1   132.0  156.0
171 1660.150697 9.980E-44 1.275E-01.02590.05411198.33670.50-.002800              6              5                    P 12      424623 4 3 2 1 0 1   276.0  300.0
171 1662.643357 4.405E-42 2.643E-02.01900.03110169.14660.50-.002800              5              4                    P 17      352623 4 3 2 1 0 1   396.0  420.0
171 1666.511413 2.850E-36 2.506E-02.01900.011 7516.96040.50-.002800              2              1                    P 29      452623 4 3 2 1 0 1   684.0  708.0
171 1669.759096 5.895E-46 4.426E-01.05240.08112314.75180.50-.004500              7              6                    P  5      224624 4 3 2 1 0 1   108.0  132.0
171 1671.542141 2.377E-42 7.568E-05.01900.018 9133.79840.50-.002800              4              3                    P 21      452623 4 3 2 1 0 1   492.0  516.0
171 1672.585001 2.714E-38 9.694E-03.01900.011 8246.42740.50-.002800              3              2                    P 25      452623 4 3 2 1 0 1   588.0  612.0
171 1675.024669 1.913E-43 1.436E-01.02850.05911066.56670.50-.002800              6              5                    P 11      424623 4 3 2 1 0 1   252.0  276.0
171 1675.211757 3.186E-34 2.430E-02.01900.011 6558.74540.50-.002800              1              0                    P 32      462623 4 3 2 1 0 1   756.0  780.0
171 1679.254422 1.251E-41 3.224E-02.01900.034 9978.35830.50-.002800              5              4                    P 16      352623 4 3 2 1 0 1   372.0  396.0
171 1681.978567 6.526E-46 4.928E-01.05770.08312261.20250.50-.004700              7              6                    P  4      224624 4 3 2 1 0 1    84.0  108.0
171 1686.752912 1.268E-35 2.235E-02.01900.011 7174.00240.50-.002800              2              1                    P 28      452623 4 3 2 1 0 1   660.0  684.0
171 1689.459247 4.899E-41 5.203E-04.01900.020 8893.27050.50-.002800              4              3                    P 20      452623 4 3 2 1 0 1   468.0  492.0
171 1689.577333 3.441E-43 1.613E-01.03150.06410945.56340.50-.002800              6              5                    P 10      424623 4 3 2 1 0 1   228.0  252.0
