221 2180.783508 6.174E-38 2.167E-08.04330.043 4935.97390.620.000000              3              2                    O 12q     344440 4 3 2 1 1 0   126.0  150.0
221 2183.834763 8.026E-34 1.380E-08.03750.037 2802.91320.470.000000              2              1                    O 15q     344440 4 3 2 1 1 0    81.0   93.0
221 2186.160988 2.848E-29 6.620E-09.03110.031  679.76900.270.000000              1              0                    O 18q     344440 4 3 2 1 1 0   198.0  222.0
221 2188.935514 3.605E-38 2.244E-08.04480.045 4889.09860.650.000000              3              2                    O 11q     344440 4 3 2 1 1 0    57.0   69.0
221 2192.149695 2.029E-33 1.425E-08.03960.040 2743.82420.520.000000              2              1                    O 14q     344440 4 3 2 1 1 0   150.0  174.0
221 2194.635561 1.937E-29 6.824E-09.03320.033  608.27760.340.000000              1              0                    O 17q     344440 4 3 2 1 1 0    93.0  105.0
221 2197.055455 8.184E-38 2.327E-08.04630.046 4846.12380.680.000000              3              2                    O 10q     344440 4 3 2 1 1 0   102.0  126.0
221 2200.433481 1.252E-33 1.473E-08.04150.042 2688.66510.570.000000              2              1                    O 13q     344440 4 3 2 1 1 0    69.0   81.0
221 2203.079906 5.151E-29 7.039E-09.03540.035  540.74430.410.000000              1              0                    O 16q     344440 4 3 2 1 1 0   174.0  198.0
221 2205.143057 4.506E-38 2.419E-08.04760.048 4807.05090.710.000000              3              2                    O  9q     344440 4 3 2 1 1 0    45.0   57.0
221 2208.685849 3.009E-33 1.522E-08.04330.043 2637.43790.620.000000              2              1                    O 12q     344440 4 3 2 1 1 0   126.0  150.0
221 2211.493751 3.345E-29 7.265E-09.03750.037  477.17140.470.000000              1              0                    O 15q     344440 4 3 2 1 1 0    81.0   93.0
221 2213.198046 9.600E-38 2.525E-08.04880.049 4771.88140.730.000000              3              2                    O  8q     344440 4 3 2 1 1 0    78.0  102.0
221 2216.906527 1.761E-33 1.577E-08.04480.045 2590.14440.650.000000              2              1                    O 11q     344440 4 3 2 1 1 0    57.0   69.0
221 2219.876825 8.480E-29 7.500E-09.03960.040  417.56110.520.000000              1              0                    O 14q     344440 4 3 2 1 1 0   150.0  174.0
221 2221.220147 4.925E-38 2.649E-08.04990.050 4740.61650.740.000000              3              2                    O  7q     344440 4 3 2 1 1 0    33.0   45.0
221 2225.095241 4.005E-33 1.635E-08.04630.046 2546.78620.680.000000              2              1                    O 10q     344440 4 3 2 1 1 0   102.0  126.0
221 2228.228855 5.242E-29 7.748E-09.04150.042  361.91560.570.000000              1              0                    O 13q     344440 4 3 2 1 1 0    69.0   81.0
221 2229.209086 9.671E-38 2.803E-08.05120.051 4713.25730.750.000000              3              2                    O  6q     344440 4 3 2 1 1 0    54.0   78.0
221 2233.251717 2.209E-33 1.700E-08.04760.048 2507.36480.710.000000              2              1                    O  9q     344440 4 3 2 1 1 0    45.0   57.0
221 2236.549570 1.263E-28 8.012E-09.04330.043  310.23660.620.000000              1              0                    O 12q     344440 4 3 2 1 1 0   126.0  150.0
221 2237.164588 4.496E-38 3.011E-08.05250.052 4689.80470.760.000000              3              2                    O  5q     344440 4 3 2 1 1 0    21.0   33.0
221 2241.375683 4.714E-33 1.774E-08.04880.049 2471.88160.730.000000              2              1                    O  8q     344440 4 3 2 1 1 0    78.0  102.0
221 2244.838696 7.407E-29 8.298E-09.04480.045  262.52610.650.000000              1              0                    O 11q     344440 4 3 2 1 1 0    57.0   69.0
221 2245.086377 7.767E-38 3.335E-08.05420.054 4670.25960.760.000000              3              2                    O  4q     344440 4 3 2 1 1 0    30.0   54.0
221 2249.466863 2.422E-33 1.862E-08.04990.050 2440.33790.740.000000              2              1                    O  7q     344440 4 3 2 1 1 0    33.0   45.0
221 2252.974178 2.986E-38 3.989E-08.05620.056 4654.62280.770.000000              3              2                    O  3q     344440 4 3 2 1 1 0     9.0   21.0
221 2253.095961 1.688E-28 8.606E-09.04630.046  218.78560.680.000000              1              0                    O 10q     344440 4 3 2 1 1 0   102.0  126.0
221 2257.524983 4.762E-33 1.970E-08.05120.051 2412.73470.750.000000              2              1                    O  6q     344440 4 3 2 1 1 0    54.0   78.0
221 2260.827714 3.575E-38 6.814E-08.05880.059 4642.89460.780.000000              3              2                    O  2q     344440 4 3 2 1 1 0     6.0   30.0
221 2261.321091 9.329E-29 8.951E-09.04760.048  179.01680.710.000000              1              0                    O  9q     344440 4 3 2 1 1 0    45.0   57.0
221 2262.065563 1.596E-39 1.739E-08.02000.020 5801.96980.200.000000              3              2                    Q 24q     344440 4 3 2 1 1 0   294.0  294.0
221 2262.905123 1.207E-39 1.742E-08.02140.021 5708.45800.200.000000              3              2                    Q 23q     344440 4 3 2 1 1 0   141.0  141.0
221 2263.709651 3.576E-39 1.744E-08.02300.023 5618.81770.200.000000              3              2                    Q 22q     344440 4 3 2 1 1 0   270.0  270.0
221 2264.479154 2.594E-39 1.746E-08.02500.025 5533.05200.200.000000              3              2                    Q 21q     344440 4 3 2 1 1 0   129.0  129.0
221 2265.213638 7.372E-39 1.749E-08.02730.027 5451.16390.200.000000              3              2                    Q 20q     344440 4 3 2 1 1 0   246.0  246.0
221 2265.549769 2.216E-33 2.117E-08.05250.052 2389.07300.760.000000              2              1                    O  5q     344440 4 3 2 1 1 0    21.0   33.0
221 2265.913109 5.126E-39 1.751E-08.02990.030 5373.15640.200.000000              3              2                    Q 19q     344440 4 3 2 1 1 0   117.0  117.0
221 2266.577573 1.396E-38 1.754E-08.03270.033 5299.03220.270.000000              3              2                    Q 18q     344440 4 3 2 1 1 0   222.0  222.0
221 2267.207035 9.294E-39 1.756E-08.03320.033 5228.79400.340.000000              3              2                    Q 17q     344440 4 3 2 1 1 0   105.0  105.0
221 2267.801499 2.422E-38 1.759E-08.03390.034 5162.44410.410.000000              3              2                    Q 16q     344440 4 3 2 1 1 0   198.0  198.0
221 2268.360971 1.542E-38 1.761E-08.03300.033 5099.98500.470.000000              3              2                    Q 15q     344440 4 3 2 1 1 0    93.0   93.0
221 2268.885455 3.839E-38 1.763E-08.03570.036 5041.41900.520.000000              3              2                    Q 14q     344440 4 3 2 1 1 0   174.0  174.0
221 2269.374956 2.333E-38 1.765E-08.03560.036 4986.74790.570.000000              3              2                    Q 13q     344440 4 3 2 1 1 0    81.0   81.0
221 2269.513814 1.994E-28 9.342E-09.04880.049  143.22090.730.000000              1              0                    O  8q     344440 4 3 2 1 1 0    78.0  102.0
221 2269.750311 1.322E-39 1.181E-08.02000.020 5873.00870.200.000000              2              1                    Q 42q     344440 4 3 2 1 1 0   510.0  510.0
221 2269.829476 5.536E-38 1.768E-08.03740.037 4935.97390.620.000000              3              2                    Q 12q     344440 4 3 2 1 1 0   150.0  150.0
221 2270.249019 3.202E-38 1.771E-08.04320.043 4889.09860.650.000000              3              2                    Q 11q     344440 4 3 2 1 1 0    69.0   69.0
221 2270.633589 7.216E-38 1.774E-08.04660.047 4846.12380.680.000000              3              2                    Q 10q     344440 4 3 2 1 1 0   126.0  126.0
221 2270.983189 3.954E-38 1.778E-08.04720.047 4807.05090.710.000000              3              2                    Q  9q     344440 4 3 2 1 1 0    57.0   57.0
221 2271.217207 1.433E-39 1.183E-08.02000.020 5709.04310.200.000000              2              1                    Q 41q     344440 4 3 2 1 1 0   249.0  249.0
221 2271.297821 8.415E-38 1.782E-08.04690.047 4771.88140.730.000000              3              2                    Q  8q     344440 4 3 2 1 1 0   102.0  102.0
221 2271.577488 4.336E-38 1.789E-08.04760.048 4740.61650.740.000000              3              2                    Q  7q     344440 4 3 2 1 1 0    45.0   45.0
221 2271.822191 8.625E-38 1.797E-08.04690.047 4713.25730.750.000000              3              2                    Q  6q     344440 4 3 2 1 1 0    78.0   78.0
221 2272.031934 4.120E-38 1.811E-08.04770.048 4689.80470.760.000000              3              2                    Q  5q     344440 4 3 2 1 1 0    33.0   33.0
221 2272.206717 7.512E-38 1.835E-08.04900.049 4670.25960.760.000000              3              2                    Q  4q     344440 4 3 2 1 1 0    54.0   54.0
221 2272.346542 3.236E-38 1.885E-08.05090.051 4654.62280.770.000000              3              2                    Q  3q     344440 4 3 2 1 1 0    21.0   21.0
221 2272.451410 5.245E-38 2.020E-08.05350.053 4642.89460.780.000000              3              2                    Q  2q     344440 4 3 2 1 1 0    30.0   30.0
221 2272.521321 2.288E-38 2.828E-08.05670.057 4635.07560.790.000000              3              2                    Q  1q     344440 4 3 2 1 1 0     9.0    9.0
221 2272.649023 6.101E-39 1.186E-08.02000.020 5548.90350.200.000000              2              1                    Q 40q     344440 4 3 2 1 1 0   486.0  486.0
221 2273.540946 3.832E-33 2.344E-08.05420.054 2369.35370.760.000000              2              1                    O  4q     344440 4 3 2 1 1 0    30.0   54.0
221 2274.045770 6.367E-39 1.189E-08.02000.020 5392.59550.200.000000              2              1                    Q 39q     344440 4 3 2 1 1 0   237.0  237.0
221 2275.407461 2.607E-38 1.191E-08.02000.020 5240.12460.200.000000              2              1                    Q 38q     344440 4 3 2 1 1 0   462.0  462.0
221 2276.734106 2.618E-38 1.194E-08.02000.020 5091.49610.200.000000              2              1                    Q 37q     344440 4 3 2 1 1 0   225.0  225.0
221 2277.673854 1.026E-28 9.804E-09.04990.050  111.39910.740.000000              1              0                    O  7q     344440 4 3 2 1 1 0    33.0   45.0
