 41 1600.043830 8.145E-25 1.766E-02.07450.095 1390.29700.73-.001974        0 1 1 1        0 2 2 0                    P 22e     465544 6 5 5 3 3 3   387.0  405.0
 41 1600.286720 3.435E-24 1.381E-02.06990.084 1146.79640.81-.001965        0 0 0 1        0 1 1 0                    P 36e     465544 6 5 5 3 3 3   639.0  657.0
 41 1600.354390 3.701E-25 1.454E-02.07130.087 1584.45160.80-.001981        0 1 1 1        0 2 0 0                    P 31e     465544 6 5 5 3 3 3   549.0  567.0
 41 1600.417570 8.870E-25 1.924E-02.07450.095 1390.28200.73-.001974        0 1 1 1        0 2 2 0                    P 22f     465544 6 5 5 3 3 3   387.0  405.0
 41 1601.068350 8.749E-25 1.821E-02.07500.095 1371.81670.73-.001968        0 1 1 1        0 2 2 0                    P 21e     465544 6 5 5 3 3 3   369.0  387.0
 41 1601.375170 3.935E-24 1.408E-02.07010.085 1116.64890.81-.001969        0 0 0 1        0 1 1 0                    P 35e     465544 6 5 5 3 3 3   621.0  639.0
 41 1601.406990 9.475E-25 1.972E-02.07500.095 1371.80420.73-.001968        0 1 1 1        0 2 2 0                    P 21f     465544 6 5 5 3 3 3   369.0  387.0
 41 1601.433230 4.072E-25 1.459E-02.07160.088 1558.44560.79-.001983        0 1 1 1        0 2 0 0                    P 30e     465544 6 5 5 3 3 3   531.0  549.0
 41 1602.083950 9.354E-25 1.881E-02.07550.096 1354.17600.73-.001960        0 1 1 1        0 2 2 0                    P 20e     465544 6 5 5 3 3 3   351.0  369.0
 41 1602.389370 1.004E-24 2.019E-02.07550.096 1354.16560.73-.001960        0 1 1 1        0 2 2 0                    P 20f     465544 6 5 5 3 3 3   351.0  369.0
 41 1602.456580 4.476E-24 1.432E-02.07040.085 1087.33710.81-.001972        0 0 0 1        0 1 1 0                    P 34e     465544 6 5 5 3 3 3   603.0  621.0
 41 1602.504620 4.476E-25 1.471E-02.07190.089 1533.27690.77-.001984        0 1 1 1        0 2 0 0                    P 29e     465544 6 5 5 3 3 3   513.0  531.0
 41 1603.090650 9.919E-25 1.940E-02.07600.097 1337.37480.73-.001951        0 1 1 1        0 2 2 0                    P 19e     465544 6 5 5 3 3 3   333.0  351.0
 41 1603.364680 1.056E-24 2.066E-02.07600.097 1337.36640.73-.001951        0 1 1 1        0 2 2 0                    P 19f     465544 6 5 5 3 3 3   333.0  351.0
 41 1603.530940 5.080E-24 1.461E-02.07070.086 1058.86100.81-.001975        0 0 0 1        0 1 1 0                    P 33e     465544 6 5 5 3 3 3   585.0  603.0
 41 1603.568510 4.879E-25 1.479E-02.07220.090 1508.94540.76-.001985        0 1 1 1        0 2 0 0                    P 28e     465544 6 5 5 3 3 3   495.0  513.0
 41 1604.088480 1.048E-24 2.007E-02.07650.098 1321.41340.73-.001939        0 1 1 1        0 2 2 0                    P 18e     465544 6 5 5 3 3 3   315.0  333.0
 41 1604.332940 1.109E-24 2.125E-02.07650.098 1321.40660.73-.001939        0 1 1 1        0 2 2 0                    P 18f     465544 6 5 5 3 3 3   315.0  333.0
 41 1604.598240 5.766E-24 1.498E-02.07100.087 1031.22090.80-.001978        0 0 0 1        0 1 1 0                    P 32e     465544 6 5 5 3 3 3   567.0  585.0
 41 1604.624860 5.322E-25 1.495E-02.07260.091 1485.45140.75-.001986        0 1 1 1        0 2 0 0                    P 27e     465544 6 5 5 3 3 3   477.0  495.0
 41 1605.077440 1.097E-24 2.073E-02.07710.099 1306.29170.73-.001925        0 1 1 1        0 2 2 0                    P 17e     465544 6 5 5 3 3 3   297.0  315.0
 41 1605.294130 1.153E-24 2.179E-02.07710.099 1306.28630.73-.001925        0 1 1 1        0 2 2 0                    P 17f     465544 6 5 5 3 3 3   297.0  315.0
 41 1605.658470 6.451E-24 1.521E-02.07130.087 1004.41690.80-.001981        0 0 0 1        0 1 1 0                    P 31e     465544 6 5 5 3 3 3   549.0  567.0
 41 1605.673630 5.725E-25 1.499E-02.07290.091 1462.79500.75-.001985        0 1 1 1        0 2 0 0                    P 26e     465544 6 5 5 3 3 3   459.0  477.0
 41 1606.057560 1.141E-24 2.144E-02.07780.100 1292.00980.73-.001909        0 1 1 1        0 2 2 0                    P 16e     465544 6 5 5 3 3 3   279.0  297.0
 41 1606.248240 1.189E-24 2.235E-02.07780.100 1292.00560.73-.001909        0 1 1 1        0 2 2 0                    P 16f     465544 6 5 5 3 3 3   279.0  297.0
 41 1606.711630 7.217E-24 1.553E-02.07160.088  978.44910.79-.001983        0 0 0 1        0 1 1 0                    P 30e     465544 6 5 5 3 3 3   531.0  549.0
 41 1606.714760 6.169E-25 1.514E-02.07330.092 1440.97650.74-.001984        0 1 1 1        0 2 0 0                    P 25e     465544 6 5 5 3 3 3   441.0  459.0
 41 1607.028860 1.181E-24 2.225E-02.07850.100 1278.56780.72-.001890        0 1 1 1        0 2 2 0                    P 15e     465544 6 5 5 3 3 3   261.0  279.0
 41 1607.195280 1.222E-24 2.302E-02.07850.100 1278.56450.72-.001890        0 1 1 1        0 2 2 0                    P 15f     465544 6 5 5 3 3 3   261.0  279.0
 41 1607.748230 6.572E-25 1.520E-02.07370.093 1419.99580.74-.001982        0 1 1 1        0 2 0 0                    P 24e     465544 6 5 5 3 3 3   423.0  441.0
 41 1607.757710 8.024E-24 1.584E-02.07190.089  953.31770.77-.001984        0 0 0 1        0 1 1 0                    P 29e     465544 6 5 5 3 3 3   513.0  531.0
 41 1607.991350 1.210E-24 2.305E-02.07920.101 1265.96570.72-.001867        0 1 1 1        0 2 2 0                    P 14e     465544 6 5 5 3 3 3   243.0  261.0
 41 1608.135230 1.246E-24 2.374E-02.07920.101 1265.96320.72-.001867        0 1 1 1        0 2 2 0                    P 14f     465544 6 5 5 3 3 3   243.0  261.0
 41 1608.773980 6.975E-25 1.530E-02.07410.094 1399.85320.73-.001978        0 1 1 1        0 2 0 0                    P 23e     465544 6 5 5 3 3 3   405.0  423.0
 41 1608.796710 8.870E-24 1.615E-02.07220.090  929.02280.76-.001985        0 0 0 1        0 1 1 0                    P 28e     465544 6 5 5 3 3 3   495.0  513.0
 41 1608.945050 1.230E-24 2.393E-02.08010.102 1254.20350.72-.001840        0 1 1 1        0 2 2 0                    P 13e     465544 6 5 5 3 3 3   225.0  243.0
 41 1609.068100 1.262E-24 2.456E-02.08010.102 1254.20160.72-.001840        0 1 1 1        0 2 2 0                    P 13f     465544 6 5 5 3 3 3   225.0  243.0
 41 1609.791970 7.379E-25 1.544E-02.07450.095 1380.54890.73-.001974        0 1 1 1        0 2 0 0                    P 22e     465544 6 5 5 3 3 3   387.0  405.0
 41 1609.828620 9.757E-24 1.647E-02.07260.091  905.56450.75-.001986        0 0 0 1        0 1 1 0                    P 27e     465544 6 5 5 3 3 3   477.0  495.0
 41 1609.889980 1.242E-24 2.494E-02.08120.103 1243.28130.72-.001809        0 1 1 1        0 2 2 0                    P 12e     465544 6 5 5 3 3 3   207.0  225.0
 41 1609.993870 1.266E-24 2.542E-02.08120.103 1243.27990.72-.001809        0 1 1 1        0 2 2 0                    P 12f     465544 6 5 5 3 3 3   207.0  225.0
 41 1610.802170 7.741E-25 1.555E-02.07500.095 1362.08290.73-.001968        0 1 1 1        0 2 0 0                    P 21e     465544 6 5 5 3 3 3   369.0  387.0
 41 1610.826140 1.242E-24 2.604E-02.08240.104 1233.19910.72-.001774        0 1 1 1        0 2 2 0                    P 11e     465544 6 5 5 3 3 3   189.0  207.0
 41 1610.853420 1.068E-23 1.680E-02.07290.091  882.94290.75-.001985        0 0 0 1        0 1 1 0                    P 26e     465544 6 5 5 3 3 3   459.0  477.0
 41 1610.912540 1.262E-24 2.646E-02.08240.104 1233.19820.72-.001774        0 1 1 1        0 2 2 0                    P 11f     465544 6 5 5 3 3 3   189.0  207.0
 41 1611.716380 2.105E-25 9.035E-02.07290.091 2044.55520.75-.001763        0 2 0 1        0 3 1 0                    Q 26f     465544 6 5 5 3 3 3   477.0  477.0
 41 1611.753550 1.230E-24 2.728E-02.08370.105 1223.95700.72-.001733        0 1 1 1        0 2 2 0                    P 10e     465544 6 5 5 3 3 3   171.0  189.0
