501 1551.638500 3.694E-41 1.910E-09.02310.024 5913.41040.710.000000       a      0       X      4                S 45R 46      442210 1 1 1 1 1 0    95.0   93.0
501 1551.749900 9.131E-46 1.020E-08.02100.018 8509.59940.710.000000       a      1       X      5                R 65R 65      442210 1 1 1 1 1 0   133.0  131.0
501 1552.309100 5.247E-47 1.290E-08.02120.019 9129.35010.710.000000       a      2       X      6                R 60Q 61      442210 1 1 1 1 1 0   123.0  123.0
501 1552.464800 2.583E-47 1.420E-08.02110.019 9301.45890.710.000000       a      2       X      6                R 62R 62      442210 1 1 1 1 1 0   127.0  125.0
501 1552.993600 2.560E-44 3.730E-09.02090.018 7622.62130.710.000000       a      0       X      4                R 67Q 68      442210 1 1 1 1 1 0   137.0  137.0
501 1553.806000 1.121E-44 4.070E-09.02080.018 7816.13350.710.000000       a      0       X      4                R 69R 69      442210 1 1 1 1 1 0   141.0  139.0
501 1554.472600 1.449E-44 6.661E-09.02460.026 7760.41780.710.000000       a      2       X      6                S 40R 41      442210 1 1 1 1 1 0    85.0   83.0
501 1554.509300 1.297E-45 9.331E-09.02100.019 8415.22360.710.000000       a      1       X      5                R 64Q 65      442210 1 1 1 1 1 0   131.0  131.0
501 1555.015800 5.968E-46 1.020E-08.02090.018 8599.29600.710.000000       a      1       X      5                R 66R 66      442210 1 1 1 1 1 0   135.0  133.0
501 1555.389800 3.586E-47 1.300E-08.02110.019 9211.73100.710.000000       a      2       X      6                R 61Q 62      442210 1 1 1 1 1 0   125.0  125.0
501 1555.450800 8.592E-43 4.810E-09.02360.025 6867.31000.710.000000       a      1       X      5                S 43R 44      442210 1 1 1 1 1 0    91.0   89.0
501 1555.590500 1.741E-47 1.430E-08.02100.019 9386.47540.710.000000       a      2       X      6                R 63R 63      442210 1 1 1 1 1 0   129.0  127.0
501 1555.810200 2.784E-41 1.930E-09.02280.023 5976.91420.710.000000       a      0       X      4                S 46R 47      442210 1 1 1 1 1 0    97.0   95.0
501 1556.380200 1.654E-44 3.751E-09.02090.018 7715.72070.710.000000       a      0       X      4                R 68Q 69      442210 1 1 1 1 1 0   139.0  139.0
501 1557.239200 7.160E-45 4.100E-09.02080.018 7911.88930.710.000000       a      0       X      4                R 70R 70      442210 1 1 1 1 1 0   143.0  141.0
501 1557.755100 8.588E-46 9.390E-09.02100.018 8503.59420.710.000000       a      1       X      5                R 65Q 66      442210 1 1 1 1 1 0   133.0  133.0
501 1558.307400 3.913E-46 1.030E-08.02090.018 8690.31110.710.000000       a      1       X      5                R 67R 67      442210 1 1 1 1 1 0   137.0  135.0
501 1558.397200 1.135E-44 6.719E-09.02420.026 7816.16970.710.000000       a      2       X      6                S 41R 42      442210 1 1 1 1 1 0    87.0   85.0
501 1558.495900 2.435E-47 1.310E-08.02110.019 9295.42780.710.000000       a      2       X      6                R 62Q 63      442210 1 1 1 1 1 0   127.0  127.0
501 1558.741200 1.165E-47 1.440E-08.02100.019 9472.80450.710.000000       a      2       X      6                R 64R 64      442210 1 1 1 1 1 0   131.0  129.0
501 1559.511200 6.571E-43 4.850E-09.02330.024 6927.58880.710.000000       a      1       X      5                S 44R 45      442210 1 1 1 1 1 0    93.0   91.0
501 1559.793300 1.064E-44 3.781E-09.02080.018 7810.14620.710.000000       a      0       X      4                R 69Q 70      442210 1 1 1 1 1 0   141.0  141.0
501 1560.008800 2.083E-41 1.950E-09.02260.023 6041.77860.710.000000       a      0       X      4                S 47R 48      442210 1 1 1 1 1 0    99.0   97.0
501 1560.698400 4.531E-45 4.120E-09.02080.018 8008.96760.710.000000       a      0       X      4                R 71R 71      442210 1 1 1 1 1 0   145.0  143.0
501 1561.026900 5.655E-46 9.460E-09.02090.018 8593.28490.710.000000       a      1       X      5                R 66Q 67      442210 1 1 1 1 1 0   135.0  135.0
501 1561.624500 2.548E-46 1.040E-08.02090.018 8782.64280.710.000000       a      1       X      5                R 68R 68      442210 1 1 1 1 1 0   139.0  137.0
501 1561.627100 1.629E-47 1.310E-08.02100.019 9380.43880.710.000000       a      2       X      6                R 63Q 64      442210 1 1 1 1 1 0   129.0  129.0
501 1561.916800 7.749E-48 1.450E-08.02100.018 9560.44440.710.000000       a      2       X      6                R 65R 65      442210 1 1 1 1 1 0   133.0  131.0
501 1562.347800 8.820E-45 6.770E-09.02390.025 7873.26530.710.000000       a      2       X      6                S 42R 43      442210 1 1 1 1 1 0    89.0   87.0
501 1563.232500 6.798E-45 3.810E-09.02080.018 7905.89590.710.000000       a      0       X      4                R 70Q 71      442210 1 1 1 1 1 0   143.0  143.0
501 1563.598000 4.990E-43 4.890E-09.02310.024 6989.21920.710.000000       a      1       X      5                S 45R 46      442210 1 1 1 1 1 0    95.0   93.0
501 1564.183600 2.855E-45 4.150E-09.02070.018 8107.36630.710.000000       a      0       X      4                R 72R 72      442210 1 1 1 1 1 0   147.0  145.0
501 1564.234400 1.540E-41 1.960E-09.02250.022 6108.00220.710.000000       a      0       X      4                S 48R 49      442210 1 1 1 1 1 0   101.0   99.0
501 1564.324300 3.699E-46 9.530E-09.02090.018 8684.29410.710.000000       a      1       X      5                R 67Q 68      442210 1 1 1 1 1 0   137.0  137.0
501 1564.783500 1.092E-47 1.321E-08.02100.019 9466.76220.710.000000       a      2       X      6                R 64Q 65      442210 1 1 1 1 1 0   131.0  131.0
501 1564.967200 1.633E-46 1.040E-08.02080.018 8876.28930.710.000000       a      1       X      5                R 69R 69      442210 1 1 1 1 1 0   141.0  139.0
501 1565.117200 5.084E-48 1.450E-08.02090.018 9649.39340.710.000000       a      2       X      6                R 66R 66      442210 1 1 1 1 1 0   135.0  133.0
501 1566.324300 6.813E-45 6.830E-09.02360.025 7931.70360.710.000000       a      2       X      6                S 43R 44      442210 1 1 1 1 1 0    91.0   89.0
501 1566.698000 4.315E-45 3.840E-09.02080.018 8002.96800.710.000000       a      0       X      4                R 71Q 72      442210 1 1 1 1 1 0   145.0  145.0
501 1567.647500 2.401E-46 9.591E-09.02090.018 8776.61980.710.000000       a      1       X      5                R 68Q 69      442210 1 1 1 1 1 0   139.0  139.0
