461 2437.488409 3.565E-24 1.270E-01.07050.063 1612.58860.750.000000              2              0                    P 44      532210 1 1 1 1 1 0    87.0   89.0
461 2440.111676 4.919E-24 1.270E-01.07080.064 1541.14040.750.000000              2              0                    P 43      532210 1 1 1 1 1 0    85.0   87.0
461 2442.712569 6.783E-24 1.280E-01.07110.064 1471.29600.750.000000              2              0                    P 42      532210 1 1 1 1 1 0    83.0   85.0
461 2445.291059 9.204E-24 1.280E-01.07130.065 1403.05680.750.000000              2              0                    P 41      532210 1 1 1 1 1 0    81.0   83.0
461 2447.847117 1.238E-23 1.280E-01.07160.065 1336.42420.750.000000              2              0                    P 40      532210 1 1 1 1 1 0    79.0   81.0
461 2450.380715 1.665E-23 1.290E-01.07180.065 1271.39950.750.000000              2              0                    P 39      532210 1 1 1 1 1 0    77.0   79.0
461 2452.891823 2.203E-23 1.290E-01.07210.066 1207.98390.750.000000              2              0                    P 38      532210 1 1 1 1 1 0    75.0   77.0
461 2455.380412 2.912E-23 1.300E-01.07240.066 1146.17870.750.000000              2              0                    P 37      532210 1 1 1 1 1 0    73.0   75.0
461 2457.846454 3.787E-23 1.300E-01.07260.067 1085.98520.750.000000              2              0                    P 36      532210 1 1 1 1 1 0    71.0   73.0
461 2460.289919 4.921E-23 1.310E-01.07290.067 1027.40450.750.000000              2              0                    P 35      532210 1 1 1 1 1 0    69.0   71.0
461 2462.710777 6.339E-23 1.320E-01.07320.067  970.43770.750.000000              2              0                    P 34      532210 1 1 1 1 1 0    67.0   69.0
461 2465.108999 8.032E-23 1.320E-01.07350.068  915.08610.750.000000              2              0                    P 33      532210 1 1 1 1 1 0    65.0   67.0
461 2467.484555 1.017E-22 1.330E-01.07370.068  861.35060.750.000000              2              0                    P 32      532210 1 1 1 1 1 0    63.0   65.0
461 2469.837417 1.266E-22 1.330E-01.07400.069  809.23230.750.000000              2              0                    P 31      532210 1 1 1 1 1 0    61.0   63.0
461 2472.167553 1.574E-22 1.340E-01.07430.069  758.73240.750.000000              2              0                    P 30      532210 1 1 1 1 1 0    59.0   61.0
461 2474.474935 1.939E-22 1.350E-01.07460.069  709.85160.750.000000              2              0                    P 29      532210 1 1 1 1 1 0    57.0   59.0
461 2476.759532 2.349E-22 1.350E-01.07490.070  662.59110.750.000000              2              0                    P 28      532210 1 1 1 1 1 0    55.0   57.0
461 2479.021314 2.842E-22 1.360E-01.07520.070  616.95170.750.000000              2              0                    P 27      532210 1 1 1 1 1 0    53.0   55.0
461 2481.260252 3.406E-22 1.370E-01.07550.071  572.93440.750.000000              2              0                    P 26      532210 1 1 1 1 1 0    51.0   53.0
461 2483.476315 4.043E-22 1.380E-01.07580.071  530.54000.750.000000              2              0                    P 25      532210 1 1 1 1 1 0    49.0   51.0
461 2485.669472 4.720E-22 1.380E-01.07620.072  489.76930.750.000000              2              0                    P 24      532210 1 1 1 1 1 0    47.0   49.0
461 2487.839695 5.496E-22 1.390E-01.07650.072  450.62310.750.000000              2              0                    P 23      532210 1 1 1 1 1 0    45.0   47.0
461 2489.986951 6.337E-22 1.400E-01.07680.073  413.10230.750.000000              2              0                    P 22      532210 1 1 1 1 1 0    43.0   45.0
461 2492.111211 7.233E-22 1.410E-01.07720.073  377.20750.750.000000              2              0                    P 21      532210 1 1 1 1 1 0    41.0   43.0
461 2494.212444 8.172E-22 1.420E-01.07750.074  342.93950.750.000000              2              0                    P 20      532210 1 1 1 1 1 0    39.0   41.0
461 2496.290619 9.134E-22 1.430E-01.07790.074  310.29890.750.000000              2              0                    P 19      532210 1 1 1 1 1 0    37.0   39.0
461 2498.345707 1.010E-21 1.440E-01.07820.075  279.28640.750.000000              2              0                    P 18      532210 1 1 1 1 1 0    35.0   37.0
461 2500.377675 1.104E-21 1.450E-01.07860.075  249.90250.750.000000              2              0                    P 17      532210 1 1 1 1 1 0    33.0   35.0
461 2502.386493 1.193E-21 1.460E-01.07900.076  222.14800.750.000000              2              0                    P 16      532210 1 1 1 1 1 0    31.0   33.0
461 2504.372131 1.274E-21 1.470E-01.07940.076  196.02320.750.000000              2              0                    P 15      532210 1 1 1 1 1 0    29.0   31.0
461 2506.334556 1.343E-21 1.480E-01.07980.077  171.52870.750.000000              2              0                    P 14      532210 1 1 1 1 1 0    27.0   29.0
461 2508.273739 1.407E-21 1.500E-01.08020.078  148.66500.750.000000              2              0                    P 13      532210 1 1 1 1 1 0    25.0   27.0
461 2510.189648 1.442E-21 1.510E-01.08060.079  127.43260.750.000000              2              0                    P 12      532210 1 1 1 1 1 0    23.0   25.0
461 2512.082251 1.465E-21 1.530E-01.08100.079  107.83180.750.000000              2              0                    P 11      532210 1 1 1 1 1 0    21.0   23.0
461 2513.951517 1.454E-21 1.540E-01.08150.080   89.86310.750.000000              2              0                    P 10      532210 1 1 1 1 1 0    19.0   21.0
461 2515.797416 1.425E-21 1.560E-01.08190.081   73.52670.750.000000              2              0                    P  9      532210 1 1 1 1 1 0    17.0   19.0
461 2517.619915 1.374E-21 1.590E-01.08240.082   58.82310.750.000000              2              0                    P  8      532210 1 1 1 1 1 0    15.0   17.0
461 2519.418983 1.283E-21 1.610E-01.08290.084   45.75250.750.000000              2              0                    P  7      532210 1 1 1 1 1 0    13.0   15.0
461 2521.194588 1.168E-21 1.640E-01.08340.085   34.31520.750.000000              2              0                    P  6      532210 1 1 1 1 1 0    11.0   13.0
461 2522.946699 1.031E-21 1.690E-01.08390.087   24.51130.750.000000              2              0                    P  5      532210 1 1 1 1 1 0     9.0   11.0
461 2524.675284 8.630E-22 1.750E-01.08440.089   16.34110.750.000000              2              0                    P  4      532210 1 1 1 1 1 0     7.0    9.0
461 2526.380311 6.681E-22 1.840E-01.08490.091    9.80480.750.000000              2              0                    P  3      532210 1 1 1 1 1 0     5.0    7.0
461 2528.061749 4.590E-22 2.060E-01.08540.093    4.90250.750.000000              2              0                    P  2      532210 1 1 1 1 1 0     3.0    5.0
461 2529.719565 2.351E-22 3.120E-01.08600.096    1.63420.750.000000              2              0                    P  1      532210 1 1 1 1 1 0     1.0    3.0
461 2532.964204 2.387E-22 1.050E-01.08600.096    0.00000.750.000000              2              0                    R  0      532210 1 1 1 1 1 0     3.0    1.0
461 2534.550963 4.767E-22 1.270E-01.08540.093    1.63420.750.000000              2              0                    R  1      532210 1 1 1 1 1 0     5.0    3.0
461 2536.113972 7.129E-22 1.380E-01.08490.091    4.90250.750.000000              2              0                    R  2      532210 1 1 1 1 1 0     7.0    5.0
461 2537.653199 9.328E-22 1.440E-01.08440.089    9.80480.750.000000              2              0                    R  3      532210 1 1 1 1 1 0     9.0    7.0
461 2539.168611 1.134E-21 1.480E-01.08390.087   16.34110.750.000000              2              0                    R  4      532210 1 1 1 1 1 0    11.0    9.0
461 2540.660176 1.312E-21 1.510E-01.08340.085   24.51130.750.000000              2              0                    R  5      532210 1 1 1 1 1 0    13.0   11.0
461 2542.127861 1.471E-21 1.540E-01.08290.084   34.31520.750.000000              2              0                    R  6      532210 1 1 1 1 1 0    15.0   13.0
461 2543.571634 1.606E-21 1.570E-01.08240.082   45.75250.750.000000              2              0                    R  7      532210 1 1 1 1 1 0    17.0   15.0
461 2544.991463 1.704E-21 1.590E-01.08190.081   58.82310.750.000000              2              0                    R  8      532210 1 1 1 1 1 0    19.0   17.0
461 2546.387314 1.773E-21 1.610E-01.08150.080   73.52670.750.000000              2              0                    R  9      532210 1 1 1 1 1 0    21.0   19.0
461 2547.759155 1.814E-21 1.630E-01.08100.079   89.86310.750.000000              2              0                    R 10      532210 1 1 1 1 1 0    23.0   21.0
461 2549.106953 1.827E-21 1.650E-01.08060.079  107.83180.750.000000              2              0                    R 11      532210 1 1 1 1 1 0    25.0   23.0
461 2550.430675 1.814E-21 1.670E-01.08020.078  127.43260.750.000000              2              0                    R 12      532210 1 1 1 1 1 0    27.0   25.0
461 2551.730289 1.776E-21 1.690E-01.07980.077  148.66500.750.000000              2              0                    R 13      532210 1 1 1 1 1 0    29.0   27.0
461 2553.005760 1.708E-21 1.700E-01.07940.076  171.52870.750.000000              2              0                    R 14      532210 1 1 1 1 1 0    31.0   29.0
461 2554.257057 1.631E-21 1.720E-01.07900.076  196.02320.750.000000              2              0                    R 15      532210 1 1 1 1 1 0    33.0   31.0
461 2555.484145 1.540E-21 1.740E-01.07860.075  222.14800.750.000000              2              0                    R 16      532210 1 1 1 1 1 0    35.0   33.0
461 2556.686993 1.429E-21 1.750E-01.07820.075  249.90250.750.000000              2              0                    R 17      532210 1 1 1 1 1 0    37.0   35.0
461 2557.865565 1.320E-21 1.770E-01.07790.074  279.28640.750.000000              2              0                    R 18      532210 1 1 1 1 1 0    39.0   37.0
461 2559.019830 1.206E-21 1.790E-01.07750.074  310.29890.750.000000              2              0                    R 19      532210 1 1 1 1 1 0    41.0   39.0
461 2560.149753 1.090E-21 1.810E-01.07720.073  342.93950.750.000000              2              0                    R 20      532210 1 1 1 1 1 0    43.0   41.0
461 2561.255301 9.702E-22 1.820E-01.07680.073  377.20750.750.000000              2              0                    R 21      532210 1 1 1 1 1 0    45.0   43.0
461 2562.336441 8.597E-22 1.840E-01.07650.072  413.10230.750.000000              2              0                    R 22      532210 1 1 1 1 1 0    47.0   45.0
