441 2040.076329 7.102E-25 4.988E-01.10000.100 1913.12440.750.000000  0010001 0 0 1  0000001 0 0 1                    P105e     332220 3 3 1 1 1 0  1254.0 1266.0
441 2040.406347 8.124E-25 4.990E-01.10000.100 1883.58640.750.000000  0010001 0 0 1  0000001 0 0 1                    P104f     332220 3 3 1 1 1 0  1242.0 1254.0
441 2040.458153 1.012E-24 4.990E-01.10000.100 1850.04490.750.000000  0010000 0 0 0  0000000 0 0 0                    P110e     432220 3 3 1 1 1 0  1314.0 1326.0
441 2040.473408 8.213E-25 4.991E-01.10000.100 1881.26700.750.000000  0010001 0 0 1  0000001 0 0 1                    P104e     332220 3 3 1 1 1 0  1242.0 1254.0
441 2040.803297 9.380E-25 4.994E-01.10000.100 1851.98760.750.000000  0010001 0 0 1  0000001 0 0 1                    P103f     332220 3 3 1 1 1 0  1230.0 1242.0
441 2040.859881 1.178E-24 4.993E-01.10000.100 1816.75860.750.000000  0010000 0 0 0  0000000 0 0 0                    P109e     432220 3 3 1 1 1 0  1302.0 1314.0
441 2040.869620 9.486E-25 4.994E-01.10000.100 1849.71130.750.000000  0010001 0 0 1  0000001 0 0 1                    P103e     332220 3 3 1 1 1 0  1230.0 1242.0
441 2041.199380 1.082E-24 4.997E-01.10000.100 1820.69110.750.000000  0010001 0 0 1  0000001 0 0 1                    P102f     332220 3 3 1 1 1 0  1218.0 1230.0
441 2041.260742 1.371E-24 4.996E-01.10000.100 1783.77310.750.000000  0010000 0 0 0  0000000 0 0 0                    P108e     432220 3 3 1 1 1 0  1290.0 1302.0
441 2041.264964 1.093E-24 4.997E-01.10000.100 1818.45740.750.000000  0010001 0 0 1  0000001 0 0 1                    P102e     332220 3 3 1 1 1 0  1218.0 1230.0
441 2041.594595 1.246E-24 5.000E-01.10000.100 1789.69680.750.000000  0010001 0 0 1  0000001 0 0 1                    P101f     432220 3 3 1 1 1 0  1206.0 1218.0
441 2041.659438 1.259E-24 5.000E-01.10000.100 1787.50540.750.000000  0010001 0 0 1  0000001 0 0 1                    P101e     432220 3 3 1 1 1 0  1206.0 1218.0
441 2041.660733 1.592E-24 4.999E-01.10000.100 1751.08850.750.000000  0010000 0 0 0  0000000 0 0 0                    P107e     432220 3 3 1 1 1 0  1278.0 1290.0
441 2041.988943 1.432E-24 5.003E-01.10000.100 1759.00480.750.000000  0010001 0 0 1  0000001 0 0 1                    P100f     432220 3 3 1 1 1 0  1194.0 1206.0
441 2042.053044 1.447E-24 5.003E-01.10000.100 1756.85530.750.000000  0010001 0 0 1  0000001 0 0 1                    P100e     432220 3 3 1 1 1 0  1194.0 1206.0
441 2042.059855 1.847E-24 5.003E-01.10000.100 1718.70490.750.000000  0010000 0 0 0  0000000 0 0 0                    P106e     432220 3 3 1 1 1 0  1266.0 1278.0
441 2042.382421 1.644E-24 5.006E-01.10000.100 1728.61510.750.000000  0010001 0 0 1  0000001 0 0 1                    P 99f     432220 3 3 1 1 1 0  1182.0 1194.0
441 2042.445780 1.661E-24 5.007E-01.10000.100 1726.50730.750.000000  0010001 0 0 1  0000001 0 0 1                    P 99e     432220 3 3 1 1 1 0  1182.0 1194.0
441 2042.458107 2.139E-24 5.006E-01.10000.100 1686.62240.750.000000  0010000 0 0 0  0000000 0 0 0                    P105e     432220 3 3 1 1 1 0  1254.0 1266.0
441 2042.775030 1.883E-24 5.009E-01.10000.100 1698.52780.750.000000  0010001 0 0 1  0000001 0 0 1                    P 98f     432220 3 3 1 1 1 0  1170.0 1182.0
