321 1728.048680 2.977E-22 5.049E+01.10100.320 1399.92280.750.000000             V3         GROUND 59  3 56       60  3 57      340000 5 5 2 2 1 0   476.0  484.0
321 1728.051070 3.166E-22 4.611E+01.10100.320 1361.55960.750.000000             V3         GROUND 57  5 52       58  5 53      340000 5 5 2 2 1 0   460.0  468.0
321 1728.051810 2.964E-22 5.030E+01.10100.320 1400.03890.750.000000             V3         GROUND 59  4 56       60  4 57      340000 5 5 2 2 1 0   476.0  484.0
321 1728.053830 2.853E-22 5.057E+01.10100.320 1419.11070.750.000000             V3         GROUND 62  0 62       63  0 63      340000 5 5 2 2 1 0   500.0  508.0
321 1728.053830 2.853E-22 5.057E+01.10100.320 1419.11070.750.000000             V3         GROUND 62  1 62       63  1 63      340000 5 5 2 2 1 0   500.0  508.0
321 1728.058680 2.892E-22 5.067E+01.10100.320 1409.99400.750.000000             V3         GROUND 60  3 58       61  3 59      340000 5 5 2 2 1 0   484.0  492.0
321 1728.059160 2.892E-22 5.067E+01.10100.320 1409.98850.750.000000             V3         GROUND 60  2 58       61  2 59      340000 5 5 2 2 1 0   484.0  492.0
321 1728.066400 2.853E-22 5.069E+01.10100.320 1416.24140.750.000000             V3         GROUND 61  1 60       62  1 61      340000 5 5 2 2 1 0   492.0  500.0
321 1728.066430 2.853E-22 5.069E+01.10100.320 1416.24150.750.000000             V3         GROUND 61  2 60       62  2 61      340000 5 5 2 2 1 0   492.0  500.0
321 1728.110680 2.117E-22 3.416E+01.10100.320 1386.17560.750.000000             V3         GROUND 58  5 54       59  5 55      340000 5 5 2 2 1 0   468.0  476.0
321 1728.126820 2.241E-22 4.527E+01.10100.320 1428.82700.750.000000             V3         GROUND 57  8 49       58  8 50      340000 5 5 2 2 1 0   460.0  468.0
321 1728.183660 1.772E-22 2.896E+01.10100.320 1377.95920.750.000000             V3         GROUND 55  9 46       56  9 47      340000 5 5 2 2 1 0   444.0  452.0
321 1728.240900 3.231E-22 4.893E+01.10100.320 1369.51690.750.000000             V3         GROUND 57  6 52       58  6 53      340000 5 5 2 2 1 0   460.0  468.0
321 1728.454240 2.189E-22 3.510E+01.10100.320 1384.78060.750.000000             V3         GROUND 58  4 54       59  4 55      340000 5 5 2 2 1 0   468.0  476.0
321 1728.565040 3.329E-22 4.381E+01.10100.320 1340.58670.750.000000             V3         GROUND 57  4 53       58  4 54      340000 5 5 2 2 1 0   460.0  468.0
321 1728.636790 3.218E-22 4.627E+01.10100.320 1355.16120.750.000000             V3         GROUND 56  7 49       57  7 50      340000 5 5 2 2 1 0   452.0  460.0
321 1728.795640 2.071E-22 2.811E+01.10100.320 1335.80080.750.000000             V3         GROUND 54  9 46       55  9 47      340000 5 5 2 2 1 0   436.0  444.0
321 1728.803920 1.381E-22 2.756E+01.10100.320 1418.88010.750.000000             V3         GROUND 55 10 46       56 10 47      340000 5 5 2 2 1 0   444.0  452.0
321 1728.814830 1.368E-22 2.730E+01.10100.320 1418.88080.750.000000             V3         GROUND 55 10 45       56 10 46      340000 5 5 2 2 1 0   444.0  452.0
321 1728.825430 3.615E-22 4.679E+01.10100.320 1333.44350.750.000000             V3         GROUND 56  5 52       57  6 51      340000 5 5 2 2 1 0   452.0  460.0
321 1728.825950 1.596E-22 1.569E+01.10100.320 1273.24110.750.000000          V6+V7         GROUND 55  7 48       56  5 51      340000 5 5 2 2 1 0   444.0  452.0
321 1728.888590 3.622E-22 5.050E+01.10100.320 1355.93750.750.000000             V3         GROUND 58  3 55       59  3 56      340000 5 5 2 2 1 0   468.0  476.0
321 1728.892110 3.596E-22 5.017E+01.10100.320 1356.08090.750.000000             V3         GROUND 58  4 55       59  4 56      340000 5 5 2 2 1 0   468.0  476.0
321 1728.893120 3.478E-22 5.066E+01.10100.320 1375.19060.750.000000             V3         GROUND 61  0 61       62  0 62      340000 5 5 2 2 1 0   492.0  500.0
321 1728.893120 3.478E-22 5.066E+01.10100.320 1375.19060.750.000000             V3         GROUND 61  1 61       62  1 62      340000 5 5 2 2 1 0   492.0  500.0
321 1728.901660 3.394E-22 4.843E+01.10100.320 1353.51910.750.000000             V3         GROUND 56  6 50       57  7 51      340000 5 5 2 2 1 0   452.0  460.0
