531 1502.751026 2.289E-20 3.396E+02.08110.104 1383.78880.770.000000       0 2 2 1        0 2 2 0                     P 73      335540 1 1 1 1 1 0   145.0  147.0
531 1502.802931 5.466E-21 2.040E+02.08270.106 1558.84010.760.000000       1 1 1 1        1 1 1 0                     P 68      335540 1 1 1 1 1 0   135.0  137.0
531 1502.815592 1.711E-21 6.812E+01.08810.112 1520.43200.710.000000       0 3 1 1        0 3 1 0                     P 53      335540 1 1 1 1 1 0   105.0  107.0
531 1502.858215 7.464E-21 6.789E+01.07590.096 1330.94510.760.000000       0 1 1 1        0 1 1 0                     P 92      334440 1 1 1 1 1 0   183.0  185.0
531 1502.864906 7.301E-21 5.541E+01.07170.088 1330.67300.750.000000       0 0 0 1        0 0 0 0                     P110      464440 1 2 1 1 1 0   219.0  221.0
531 1502.880155 1.341E-20 3.056E+02.07690.097 1510.72100.760.000000       1 0 0 1        1 0 0 0                     P 88      335540 1 1 1 1 1 0   175.0  177.0
531 1502.919865 1.584E-29 6.927E+01.08470.109 5361.88580.750.000000       3 0 0 3        0 1 1 3                     P 62      335540 1 1 1 1 1 0   123.0  125.0
531 1502.930937 2.321E-25 6.836E-02.09460.116 1873.55710.600.000000       2 1 1 1        2 1 1 0                     P 40      336650 1 1 1 1 1 0    79.0   81.0
531 1503.069206 2.441E-20 3.400E+02.08140.105 1367.84080.770.000000       0 2 2 1        0 2 2 0                     P 72      335540 1 1 1 1 1 0   143.0  145.0
531 1503.087552 1.773E-21 6.817E+01.08860.113 1509.22560.710.000000       0 3 1 1        0 3 1 0                     P 52      335540 1 1 1 1 1 0   103.0  105.0
531 1503.126502 3.309E-25 6.890E+01.10550.126 3133.22790.630.000000       0 0 0 3        0 0 0 2                     P 26      336650 1 1 1 1 1 0    51.0   53.0
531 1503.128225 5.799E-21 2.041E+02.08300.107 1543.60460.760.000000       1 1 1 1        1 1 1 0                     P 67      335540 1 1 1 1 1 0   133.0  135.0
531 1503.160282 3.364E-21 3.416E+02.09130.114 1683.49680.650.000000       1 2 0 1        1 2 0 0                     P 46      336650 1 1 1 1 1 0    91.0   93.0
531 1503.210102 2.363E-25 6.842E-02.09520.116 1864.67750.600.000000       2 1 1 1        2 1 1 0                     P 39      336650 1 1 1 1 1 0    77.0   79.0
531 1503.225221 8.169E-21 6.795E+01.07610.096 1310.21260.760.000000       0 1 1 1        0 1 1 0                     P 91      334440 1 1 1 1 1 0   181.0  183.0
531 1503.239767 6.687E-27 6.860E-03.09870.118 2096.29870.590.000000       3 0 0 1        3 0 0 0                     P 34      336650 1 1 1 1 1 0    67.0   69.0
531 1503.297353 6.538E-21 9.527E+01.08140.105 1377.05720.770.000000       0 2 0 1        0 2 0 0                     P 72      335540 1 1 1 1 1 0   143.0  145.0
531 1503.337348 6.939E-25 6.815E-02.08470.109 1738.57720.750.000000       2 0 0 1        2 0 0 0                     P 62      335540 1 1 1 1 1 0   123.0  125.0
531 1503.355271 1.446E-22 6.813E+01.08170.105 2089.25700.770.000000       0 0 0 2        0 0 0 1                     P 71      335540 1 1 1 1 1 0   141.0  143.0
531 1503.389866 2.599E-20 3.402E+02.08170.105 1352.05940.770.000000       0 2 2 1        0 2 2 0                     P 71      335540 1 1 1 1 1 0   141.0  143.0
531 1503.399155 1.842E-21 6.823E+01.08900.113 1497.43120.700.000000       0 3 1 1        0 3 1 0                     P 51      335540 1 1 1 1 1 0   101.0  103.0
531 1503.426671 6.126E-21 2.043E+02.08330.107 1529.36960.760.000000       1 1 1 1        1 1 1 0                     P 66      335540 1 1 1 1 1 0   131.0  133.0
531 1503.475157 2.398E-25 6.847E-02.09590.116 1856.31620.590.000000       2 1 1 1        2 1 1 0                     P 38      336650 1 1 1 1 1 0    75.0   77.0
531 1503.489134 1.743E-29 6.937E+01.08540.110 5335.54340.750.000000       3 0 0 3        0 1 1 3                     P 60      335540 1 1 1 1 1 0   119.0  121.0
531 1503.550538 8.872E-21 6.799E+01.07640.097 1290.98630.760.000000       0 1 1 1        0 1 1 0                     P 90      334440 1 1 1 1 1 0   179.0  181.0
531 1503.559866 1.578E-20 3.061E+02.07740.098 1472.64570.770.000000       1 0 0 1        1 0 0 0                     P 86      335540 1 1 1 1 1 0   171.0  173.0
531 1503.607416 9.076E-21 5.571E+01.07210.089 1282.99950.750.000000       0 0 0 1        0 0 0 0                     P108      464440 1 2 1 1 1 0   215.0  217.0
531 1503.626761 3.224E-25 6.910E+01.10740.129 3122.24400.650.000000       0 0 0 3        0 0 0 2                     P 24      336650 1 1 1 1 1 0    47.0   49.0
531 1503.669299 1.904E-21 6.830E+01.08940.113 1486.63240.690.000000       0 3 1 1        0 3 1 0                     P 50      335550 1 1 1 1 1 0    99.0  101.0
531 1503.705435 2.763E-20 3.404E+02.08200.106 1336.54520.770.000000       0 2 2 1        0 2 2 0                     P 70      335540 1 1 1 1 1 0   139.0  141.0
