191 1670.813661 2.755E-23 2.803E-01.07920.099 1312.68810.300.000000        2 0 0 0        0 0 0 0                    P 80      545500 4 2 4 3 1 0   159.0  161.0
191 1670.838286 3.569E-23 2.834E-01.08270.120 1191.40190.320.000000        2 1 1 0        0 1 1 0                    P 57e     445500 4 2 4 3 1 0   113.0  115.0
191 1670.913147 3.557E-23 2.834E-01.08270.120 1192.10190.320.000000        2 1 1 0        0 1 1 0                    P 57f     445500 4 2 4 3 1 0   113.0  115.0
191 1671.088191 2.525E-23 8.515E-01.08310.123 1481.48200.340.000000        3 0 0 0        1 0 0 0                    P 55      445500 4 2 4 3 1 0   109.0  111.0
191 1671.216183 1.468E-23 2.866E-01.08900.166 1256.19350.680.000000        2 2 2 0        0 2 2 0                    P 32e     445500 4 2 4 3 1 0    63.0   65.0
191 1671.219170 1.468E-23 2.866E-01.08900.166 1256.20200.680.000000        2 2 2 0        0 2 2 0                    P 32f     445500 4 2 4 3 1 0    63.0   65.0
191 1671.225904 1.525E-23 2.885E-01.08980.168 1236.24730.730.000000        2 2 0 0        0 2 0 0                    P 30      445500 4 2 4 3 1 0    59.0   61.0
191 1671.371629 3.924E-23 2.836E-01.08290.122 1168.28070.330.000000        2 1 1 0        0 1 1 0                    P 56e     445500 4 2 4 3 1 0   111.0  113.0
191 1671.412724 3.186E-23 2.807E-01.07940.100 1280.32000.300.000000        2 0 0 0        0 0 0 0                    P 79      545500 4 2 4 3 1 0   157.0  159.0
191 1671.443591 3.912E-23 2.837E-01.08290.122 1168.95660.330.000000        2 1 1 0        0 1 1 0                    P 56f     445500 4 2 4 3 1 0   111.0  113.0
191 1671.626941 2.763E-23 8.526E-01.08330.125 1459.26380.350.000000        3 0 0 0        1 0 0 0                    P 54      445500 4 2 4 3 1 0   107.0  109.0
191 1671.687836 1.517E-23 2.873E-01.08940.167 1243.17250.710.000000        2 2 2 0        0 2 2 0                    P 31e     445500 4 2 4 3 1 0    61.0   63.0
191 1671.690427 1.517E-23 2.873E-01.08940.167 1243.18010.710.000000        2 2 2 0        0 2 2 0                    P 31f     445500 4 2 4 3 1 0    61.0   63.0
191 1671.694177 1.561E-23 2.882E-01.09010.169 1224.04240.740.000000        2 2 0 0        0 2 0 0                    P 29      445500 4 2 4 3 1 0    57.0   59.0
191 1671.902671 4.316E-23 2.847E-01.08310.123 1145.56400.340.000000        2 1 1 0        0 1 1 0                    P 55e     445500 4 2 4 3 1 0   109.0  111.0
191 1671.971785 4.275E-23 2.829E-01.08310.123 1146.21620.340.000000        2 1 1 0        0 1 1 0                    P 55f     445500 4 2 4 3 1 0   109.0  111.0
191 1672.009293 3.678E-23 2.812E-01.07950.100 1248.35430.300.000000        2 0 0 0        0 0 0 0                    P 78      545500 4 2 4 3 1 0   155.0  157.0
191 1672.157371 1.557E-23 2.869E-01.08980.168 1230.55810.730.000000        2 2 2 0        0 2 2 0                    P 30e     445500 4 2 4 3 1 0    59.0   61.0
191 1672.159606 1.557E-23 2.869E-01.08980.168 1230.56470.730.000000        2 2 2 0        0 2 2 0                    P 30f     445500 4 2 4 3 1 0    59.0   61.0
191 1672.160357 1.597E-23 2.887E-01.09050.170 1212.24410.750.000000        2 2 0 0        0 2 0 0                    P 28      445500 4 2 4 3 1 0    55.0   57.0
191 1672.163187 3.013E-23 8.527E-01.08350.127 1437.44850.370.000000        3 0 0 0        1 0 0 0                    P 53      445500 4 2 4 3 1 0   105.0  107.0
191 1672.431416 4.719E-23 2.847E-01.08330.125 1123.25190.350.000000        2 1 1 0        0 1 1 0                    P 54e     445500 4 2 4 3 1 0   107.0  109.0
191 1672.497730 4.679E-23 2.831E-01.08330.125 1123.88090.350.000000        2 1 1 0        0 1 1 0                    P 54f     445500 4 2 4 3 1 0   107.0  109.0
191 1672.603371 4.235E-23 2.816E-01.07960.101 1216.79110.300.000000        2 0 0 0        0 0 0 0                    P 77      545500 4 2 4 3 1 0   153.0  155.0
191 1672.624442 1.629E-23 2.893E-01.09090.170 1200.85240.780.000000        2 2 0 0        0 2 0 0                    P 27      445500 4 2 4 3 1 0    53.0   55.0
191 1672.624793 1.597E-23 2.872E-01.09010.169 1218.35020.740.000000        2 2 2 0        0 2 2 0                    P 29e     445500 4 2 4 3 1 0    57.0   59.0
191 1672.626710 1.597E-23 2.872E-01.09010.169 1218.35600.740.000000        2 2 2 0        0 2 2 0                    P 29f     445500 4 2 4 3 1 0    57.0   59.0
191 1672.696931 3.283E-23 8.541E-01.08370.129 1416.03620.390.000000        3 0 0 0        1 0 0 0                    P 52      445500 4 2 4 3 1 0   103.0  105.0
191 1672.957864 5.163E-23 2.855E-01.08350.127 1101.34440.370.000000        2 1 1 0        0 1 1 0                    P 53e     445500 4 2 4 3 1 0   105.0  107.0
191 1673.021428 5.122E-23 2.841E-01.08350.127 1101.95060.370.000000        2 1 1 0        0 1 1 0                    P 53f     445500 4 2 4 3 1 0   105.0  107.0
191 1673.086431 1.654E-23 2.896E-01.09130.171 1189.86730.800.000000        2 2 0 0        0 2 0 0                    P 26      445500 4 2 4 3 1 0    51.0   53.0
191 1673.090106 1.633E-23 2.875E-01.09050.170 1206.54880.750.000000        2 2 2 0        0 2 2 0                    P 28e     445500 4 2 4 3 1 0    55.0   57.0
191 1673.091740 1.633E-23 2.875E-01.09050.170 1206.55390.750.000000        2 2 2 0        0 2 2 0                    P 28f     445500 4 2 4 3 1 0    55.0   57.0
191 1673.194960 4.880E-23 2.827E-01.07970.101 1185.63040.300.000000        2 0 0 0        0 0 0 0                    P 76      545500 4 2 4 3 1 0   151.0  153.0
191 1673.228174 3.565E-23 8.545E-01.08390.130 1395.02700.400.000000        3 0 0 0        1 0 0 0                    P 51      445500 4 2 4 3 1 0   101.0  103.0
191 1673.349397 1.024E-23 8.696E-01.09130.171 1514.62210.800.000000        3 1 1 0        1 1 1 0                    P 26e     3355401115 4 3 1 0    51.0   53.0
191 1673.358136 1.020E-23 8.669E-01.09130.171 1514.78230.800.000000        3 1 1 0        1 1 1 0                    P 26f     3355401115 4 3 1 0    51.0   53.0
